property_id,address,city,province,property_type,bedrooms,bathrooms,parking_spaces,size_sqm,erf_size_sqm,listing_price,listing_date,sale_date,sale_price,agent_id,status
1,"601 Market Street, Walmer",Port Elizabeth,Eastern Cape,Townhouse,2,2,2,114,380,843722,2024-02-06,,,11,Listed
2,"556 Nelson Mandela Drive, Bishopscourt",Cape Town,Western Cape,Townhouse,3,3,2,164,299,3642951,2025-04-30,2025-06-23,3612974,31,Sold
3,"401 Park Lane, Hatfield",Pretoria,Gauteng,House,4,4,1,439,1210,1954192,2024-12-31,2025-06-03,1995465,14,Sold
4,"772 Oak Street, Walmer",Port Elizabeth,Eastern Cape,House,4,2,3,397,1148,2163932,2024-03-28,,,38,Listed
5,"934 Church Lane, Framesby",Port Elizabeth,Eastern Cape,Apartment,4,1.5,2,57,0,778973,2025-02-15,,,27,Listed
6,"67 Market Street, Phoenix",Durban,KwaZulu-Natal,Townhouse,4,3,1,197,244,1773810,2025-09-15,2025-10-23,1604874,5,Sold
7,"418 High Drive, Summerstrand",Port Elizabeth,Eastern Cape,House,4,2.5,4,333,470,2046735,2025-09-05,2025-09-22,2061748,16,Sold
8,"501 Oak Drive, Bryanston",Johannesburg,Gauteng,House,4,2,1,141,690,2184185,2025-05-04,2025-08-23,2010564,9,Sold
9,"905 Nelson Mandela Street, Phoenix",Durban,KwaZulu-Natal,House,6,2,3,355,1212,1620514,2024-12-17,,,32,Listed
10,"702 Beach Avenue, Greenbushes",Port Elizabeth,Eastern Cape,House,3,2.5,1,313,1027,2298664,2024-04-11,,,30,Under Offer
11,"700 Church Drive, Bellville",Cape Town,Western Cape,House,6,3,1,286,1101,4718621,2024-07-17,2024-09-29,4847123,42,Sold
12,"900 Long Street, Camps Bay",Cape Town,Western Cape,Apartment,3,1,1,139,0,2097572,2025-08-11,2026-01-14,2069328,4,Sold
13,"876 Oak Lane, Ballito",Durban,KwaZulu-Natal,House,3,4,1,320,1303,1403978,2024-01-17,,,32,Under Offer
14,"388 Nelson Mandela Lane, Lovemore Heights",Port Elizabeth,Eastern Cape,Apartment,2,2,1,55,0,897304,2025-03-27,,,37,Under Offer
15,"314 Station Avenue, Umlazi",Durban,KwaZulu-Natal,House,4,1,2,390,353,2010725,2024-04-28,,,27,Withdrawn
16,"544 Station Road, Westville",Durban,KwaZulu-Natal,House,6,3,3,271,903,1297797,2025-03-16,2025-05-25,1343827,24,Sold
17,"855 Market Road, Phoenix",Durban,KwaZulu-Natal,Apartment,1,2,2,143,0,1319353,2024-03-20,,,32,Listed
18,"606 Park Street, Constantia",Cape Town,Western Cape,Apartment,3,2.5,2,178,0,1771952,2024-07-08,2024-10-29,1794443,24,Sold
19,"983 High Road, Montana",Pretoria,Gauteng,Townhouse,2,1.5,1,101,173,1339639,2023-12-18,,,37,Listed
20,"173 Oak Drive, Sandton",Johannesburg,Gauteng,House,3,4,3,301,886,4106998,2025-09-02,,,6,Listed
21,"650 Long Road, Phoenix",Durban,KwaZulu-Natal,Apartment,1,1.5,1,51,0,1990268,2024-07-01,,,46,Listed
22,"169 Oak Road, Waterkloof",Pretoria,Gauteng,Townhouse,4,2,1,206,192,1135046,2024-12-20,,,4,Listed
23,"888 Long Street, La Lucia",Durban,KwaZulu-Natal,Apartment,2,2,1,186,0,840532,2024-09-12,2024-12-23,795859,23,Sold
24,"694 Oak Street, Humewood",Port Elizabeth,Eastern Cape,House,5,2.5,2,160,1227,3142630,2025-01-27,2025-07-22,2939886,26,Sold
25,"433 Beach Street, Randburg",Johannesburg,Gauteng,House,4,3,3,279,893,3145821,2025-08-08,,,42,Listed
26,"327 High Drive, Newton Park",Port Elizabeth,Eastern Cape,House,3,1,4,243,1057,1305953,2024-11-18,,,38,Listed
27,"292 Oak Road, Humewood",Port Elizabeth,Eastern Cape,Apartment,2,1.5,2,156,0,1329351,2024-09-09,,,28,Listed
28,"771 Oak Road, Morningside",Durban,KwaZulu-Natal,Townhouse,3,2,2,127,196,2434949,2025-04-10,2025-07-27,2230441,33,Sold
29,"942 Beach Street, Bellville",Cape Town,Western Cape,House,5,1,3,406,1033,2156249,2024-08-07,,,17,Withdrawn
30,"457 Jan Smuts Road, Phoenix",Durban,KwaZulu-Natal,Farm,4,3,3,255,444904,5927956,2025-01-19,,,16,Withdrawn
31,"247 Oak Avenue, Phoenix",Durban,KwaZulu-Natal,Apartment,2,1.5,1,146,0,2203033,2024-07-13,,,19,Under Offer
32,"665 Park Lane, Randburg",Johannesburg,Gauteng,Apartment,2,1,2,103,0,2628859,2024-07-26,,,32,Under Offer
33,"948 High Street, Centurion",Pretoria,Gauteng,Apartment,1,2,1,126,0,2165268,2024-05-05,,,43,Listed
